"ContentType","Id","Name","Rarity","Slot","ArtKey","Status","AssetPath","Source","Cell"
"EnemyPortrait","","алебардщик бастиона","","","","NO_EXACT_RUNTIME_MONSTER","","Враги/Враги Цитадели Затмения/алебардщик бастиона.png",""
"EnemyPortrait","","жрец угасшего света","","","","NO_EXACT_RUNTIME_MONSTER","","Враги/Враги Цитадели Затмения/жрец угасшего света.png",""
"EnemyPortrait","","каменный страж","","","","NO_EXACT_RUNTIME_MONSTER","","Враги/Враги Древней шахты/каменный страж.png",""
"EnemyPortrait","","кузнец Умбры","","","","NO_EXACT_RUNTIME_MONSTER","","Враги/Враги Цитадели Затмения/кузнец Умбры.png",""
"EnemyPortrait","","наместник цитадели","","","","NO_EXACT_RUNTIME_MONSTER","","Враги/Враги Цитадели Затмения/наместник цитадели.png",""
"EnemyPortrait","","паучий ловец","","","","NO_EXACT_RUNTIME_MONSTER","","Враги/Враги Древней шахты/паучий ловец.png",""
"EnemyPortrait","","рудничный надзиратель","","","","NO_EXACT_RUNTIME_MONSTER","","Враги/Враги Древней шахты/рудничный надзиратель.png",""
"EnemyPortrait","","рунный страж","","","","NO_EXACT_RUNTIME_MONSTER","","Враги/Враги Древней шахты/рунный страж.png",""
"EnemyPortrait","","солдат затмения","","","","NO_EXACT_RUNTIME_MONSTER","","Враги/Враги Цитадели Затмения/солдат затмения.png",""
"EnemyPortrait","","страж нижних врат","","","","NO_EXACT_RUNTIME_MONSTER","","Враги/Враги Древней шахты/страж нижних врат.png",""
"EnemyPortrait","","сумеречный капитан","","","","NO_EXACT_RUNTIME_MONSTER","","Враги/Враги Цитадели Затмения/сумеречный капитан.png",""
"EnemyPortrait","","сумеречный лучник","","","","NO_EXACT_RUNTIME_MONSTER","","Враги/Враги Цитадели Затмения/сумеречный лучник.png",""
"EnemyPortrait","","часовой внутренних врат","","","","NO_EXACT_RUNTIME_MONSTER","","Враги/Враги Цитадели Затмения/часовой внутренних врат.png",""
"EnemyPortrait","","шахтный дозорный","","","","NO_EXACT_RUNTIME_MONSTER","","Враги/Враги Древней шахты/шахтный дозорный.png",""
"EnemyPortrait","","шахтный паук","","","","NO_EXACT_RUNTIME_MONSTER","","Враги/Враги Древней шахты/шахтный паук.png",""
"EnemyPortrait","","ядовитый пещерный паук","","","","NO_EXACT_RUNTIME_MONSTER","","Враги/Враги Древней шахты/ядовитый пещерный паук.png",""
