"ContentType","Id","ArtKey","Source","Cell","Output"
"Item","CHERNOKAMENNAIA_SEKIRA","chernokamennaia_sekira","Предметы вне комплектов/Именные вещи открытого мира — поздний диапазон 30–40.png","0 (4x3)","web/elyndor-web/src/assets/items/imported/chernokamennaia_sekira.webp"
"Item","CHESHUICHATYI_PLASHCH_VASILISKA","cheshuichatyi_plashch_vasiliska","Предметы вне комплектов/Именные вещи открытого мира — средний диапазон 15–29.png","7 (5x4)","web/elyndor-web/src/assets/items/imported/cheshuichatyi_plashch_vasiliska.webp"
"Item","DOZORNYI_LUK_STAROGO_TRAKTA","dozornyi_luk_starogo_trakta","Предметы вне комплектов/Именные вещи открытого мира — ранний диапазон 1–16.png","10 (4x4)","web/elyndor-web/src/assets/items/imported/dozornyi_luk_starogo_trakta.webp"
"Item","FONAR_UTONUVSHEGO_PALOMNIKA","fonar_utonuvshego_palomnika","Предметы вне комплектов/Именные вещи открытого мира — средний диапазон 15–29.png","8 (5x4)","web/elyndor-web/src/assets/items/imported/fonar_utonuvshego_palomnika.webp"
"Item","KAPIUSHON_CHASHCHOBY","kapiushon_chashchoby","Предметы вне комплектов/Именные вещи открытого мира — ранний диапазон 1–16.png","7 (4x4)","web/elyndor-web/src/assets/items/imported/kapiushon_chashchoby.webp"
"Item","KAPIUSHON_TENEVOGO_BRAKONERA","kapiushon_tenevogo_brakonera","Предметы вне комплектов/Именные вещи открытого мира — средний диапазон 15–29.png","1 (5x4)","web/elyndor-web/src/assets/items/imported/kapiushon_tenevogo_brakonera.webp"
"Item","KIRASA_KAMNEGLOTA","kirasa_kamneglota","Предметы вне комплектов/Именные вещи открытого мира — ранний диапазон 1–16.png","14 (4x4)","web/elyndor-web/src/assets/items/imported/kirasa_kamneglota.webp"
"Item","KIRASA_MATIOROGO_VOZHAKA","kirasa_matiorogo_vozhaka","Предметы вне комплектов/Именные вещи открытого мира — средний диапазон 15–29.png","2 (5x4)","web/elyndor-web/src/assets/items/imported/kirasa_matiorogo_vozhaka.webp"
"Item","KLINOK_PEPELNOGO_RYTSARIA","klinok_pepelnogo_rytsaria","Предметы вне комплектов/Именные вещи открытого мира — поздний диапазон 30–40.png","8 (4x3)","web/elyndor-web/src/assets/items/imported/klinok_pepelnogo_rytsaria.webp"
"Item","KLINOK_PYLNOI_DOROGI","klinok_pylnoi_dorogi","Предметы вне комплектов/Именные вещи открытого мира — ранний диапазон 1–16.png","9 (4x4)","web/elyndor-web/src/assets/items/imported/klinok_pylnoi_dorogi.webp"
"Item","KLYK_MATERI_TOPEI","klyk_materi_topei","Предметы вне комплектов/Именные вещи открытого мира — средний диапазон 15–29.png","9 (5x4)","web/elyndor-web/src/assets/items/imported/klyk_materi_topei.webp"
"Item","KLYK_MATIOROGO_VOZHAKA","klyk_matiorogo_vozhaka","Предметы вне комплектов/Именные вещи открытого мира — ранний диапазон 1–16.png","0 (4x4)","web/elyndor-web/src/assets/items/imported/klyk_matiorogo_vozhaka.webp"
"Item","KOLTSO_KORNEVOI_ROSY","koltso_kornevoi_rosy","Предметы вне комплектов/Именные вещи открытого мира — ранний диапазон 1–16.png","5 (4x4)","web/elyndor-web/src/assets/items/imported/koltso_kornevoi_rosy.webp"
"Item","KOPIO_PALACHA_GRANITSY","kopio_palacha_granitsy","Предметы вне комплектов/Именные вещи открытого мира — средний диапазон 15–29.png","3 (5x4)","web/elyndor-web/src/assets/items/imported/kopio_palacha_granitsy.webp"
"Item","KORONA_CHUMNOGO_ZHRETSA","korona_chumnogo_zhretsa","Предметы вне комплектов/Именные вещи открытого мира — поздний диапазон 30–40.png","5 (4x3)","web/elyndor-web/src/assets/items/imported/korona_chumnogo_zhretsa.webp"
"Item","LUK_BASTIONNOGO_DOZORA","luk_bastionnogo_dozora","Предметы вне комплектов/Именные вещи открытого мира — поздний диапазон 30–40.png","9 (4x3)","web/elyndor-web/src/assets/items/imported/luk_bastionnogo_dozora.webp"
"Item","LUK_DVOINOGO_EKHA","luk_dvoinogo_ekha","Предметы вне комплектов/Именные вещи открытого мира — средний диапазон 15–29.png","15 (5x4)","web/elyndor-web/src/assets/items/imported/luk_dvoinogo_ekha.webp"
"Item","LUK_ZVONKOGO_KRYLA","luk_zvonkogo_kryla","Предметы вне комплектов/Именные вещи открытого мира — ранний диапазон 1–16.png","3 (4x4)","web/elyndor-web/src/assets/items/imported/luk_zvonkogo_kryla.webp"
"Item","MOLOT_KHOZIAINA_ZHIL","molot_khoziaina_zhil","Предметы вне комплектов/Именные вещи открытого мира — ранний диапазон 1–16.png","12 (4x4)","web/elyndor-web/src/assets/items/imported/molot_khoziaina_zhil.webp"
"Item","NARUCHI_GOBLINSKOGO_KAPKANSHCHIKA","naruchi_goblinskogo_kapkanshchika","Предметы вне комплектов/Именные вещи открытого мира — ранний диапазон 1–16.png","8 (4x4)","web/elyndor-web/src/assets/items/imported/naruchi_goblinskogo_kapkanshchika.webp"
"Item","OSKOLOCHNYI_ZHEZL","oskolochnyi_zhezl","Предметы вне комплектов/Именные вещи открытого мира — средний диапазон 15–29.png","12 (5x4)","web/elyndor-web/src/assets/items/imported/oskolochnyi_zhezl.webp"
"Item","PAUCHII_OBEREG","pauchii_obereg","Предметы вне комплектов/Именные вещи открытого мира — ранний диапазон 1–16.png","2 (4x4)","web/elyndor-web/src/assets/items/imported/pauchii_obereg.webp"
"Item","PECHAT_KHRANITELIA_RASKOLA","pechat_khranitelia_raskola","Предметы вне комплектов/Именные вещи открытого мира — средний диапазон 15–29.png","16 (5x4)","web/elyndor-web/src/assets/items/imported/pechat_khranitelia_raskola.webp"
"Item","PECHAT_PREDVESTNIKA","pechat_predvestnika","Предметы вне комплектов/Именные вещи открытого мира — поздний диапазон 30–40.png","11 (4x3)","web/elyndor-web/src/assets/items/imported/pechat_predvestnika.webp"
"Item","PEPELNYE_NAPLECHNIKI_DOZORNOGO","pepelnye_naplechniki_dozornogo","Предметы вне комплектов/Именные вещи открытого мира — средний диапазон 15–29.png","5 (5x4)","web/elyndor-web/src/assets/items/imported/pepelnye_naplechniki_dozornogo.webp"
"Item","PERCHATKI_TRAVNIKA","perchatki_travnika","Предметы вне комплектов/Именные вещи открытого мира — ранний диапазон 1–16.png","4 (4x4)","web/elyndor-web/src/assets/items/imported/perchatki_travnika.webp"
"Item","PLASHCH_BRODIACHEGO_NAIOMNIKA","plashch_brodiachego_naiomnika","Предметы вне комплектов/Именные вещи открытого мира — ранний диапазон 1–16.png","11 (4x4)","web/elyndor-web/src/assets/items/imported/plashch_brodiachego_naiomnika.webp"
"Item","PLASHCH_LESNOI_TROPY","plashch_lesnoi_tropy","Предметы вне комплектов/Именные вещи открытого мира — ранний диапазон 1–16.png","1 (4x4)","web/elyndor-web/src/assets/items/imported/plashch_lesnoi_tropy.webp"
"Item","POSOKH_LESNOI_VEDMY","posokh_lesnoi_vedmy","Предметы вне комплектов/Именные вещи открытого мира — средний диапазон 15–29.png","0 (5x4)","web/elyndor-web/src/assets/items/imported/posokh_lesnoi_vedmy.webp"
"Item","RUNNYI_FONAR_SHTREKA","runnyi_fonar_shtreka","Предметы вне комплектов/Именные вещи открытого мира — ранний диапазон 1–16.png","13 (4x4)","web/elyndor-web/src/assets/items/imported/runnyi_fonar_shtreka.webp"
"Item","RUNNYI_NAGRUDNIK_PEREVALA","runnyi_nagrudnik_perevala","Предметы вне комплектов/Именные вещи открытого мира — поздний диапазон 30–40.png","3 (4x3)","web/elyndor-web/src/assets/items/imported/runnyi_nagrudnik_perevala.webp"
"Item","SEKIRA_CHASHCHOBY","sekira_chashchoby","Предметы вне комплектов/Именные вещи открытого мира — ранний диапазон 1–16.png","6 (4x4)","web/elyndor-web/src/assets/items/imported/sekira_chashchoby.webp"
"Item","SET_BLACK_BASTION_ARCHER_BEAST_MASTERY_CHEST","set_black_bastion_archer_beast_mastery_chest","item set/Черный бастион/Регалии Хозяина Чёрной Гончей.png","2 (4x2)","web/elyndor-web/src/assets/items/sets/set_black_bastion_archer_beast_mastery_chest.webp"
"Item","SET_BLACK_BASTION_ARCHER_BEAST_MASTERY_FEET","set_black_bastion_archer_beast_mastery_feet","item set/Черный бастион/Регалии Хозяина Чёрной Гончей.png","7 (4x2)","web/elyndor-web/src/assets/items/sets/set_black_bastion_archer_beast_mastery_feet.webp"
"Item","SET_BLACK_BASTION_ARCHER_BEAST_MASTERY_HANDS","set_black_bastion_archer_beast_mastery_hands","item set/Черный бастион/Регалии Хозяина Чёрной Гончей.png","4 (4x2)","web/elyndor-web/src/assets/items/sets/set_black_bastion_archer_beast_mastery_hands.webp"
"Item","SET_BLACK_BASTION_ARCHER_BEAST_MASTERY_HEAD","set_black_bastion_archer_beast_mastery_head","item set/Черный бастион/Регалии Хозяина Чёрной Гончей.png","0 (4x2)","web/elyndor-web/src/assets/items/sets/set_black_bastion_archer_beast_mastery_head.webp"
"Item","SET_BLACK_BASTION_ARCHER_BEAST_MASTERY_LEGS","set_black_bastion_archer_beast_mastery_legs","item set/Черный бастион/Регалии Хозяина Чёрной Гончей.png","6 (4x2)","web/elyndor-web/src/assets/items/sets/set_black_bastion_archer_beast_mastery_legs.webp"
"Item","SET_BLACK_BASTION_ARCHER_BEAST_MASTERY_SHOULDERS","set_black_bastion_archer_beast_mastery_shoulders","item set/Черный бастион/Регалии Хозяина Чёрной Гончей.png","1 (4x2)","web/elyndor-web/src/assets/items/sets/set_black_bastion_archer_beast_mastery_shoulders.webp"
"Item","SET_BLACK_BASTION_ARCHER_BEAST_MASTERY_WAIST","set_black_bastion_archer_beast_mastery_waist","item set/Черный бастион/Регалии Хозяина Чёрной Гончей.png","5 (4x2)","web/elyndor-web/src/assets/items/sets/set_black_bastion_archer_beast_mastery_waist.webp"
"Item","SET_BLACK_BASTION_ARCHER_BEAST_MASTERY_WRIST","set_black_bastion_archer_beast_mastery_wrist","item set/Черный бастион/Регалии Хозяина Чёрной Гончей.png","3 (4x2)","web/elyndor-web/src/assets/items/sets/set_black_bastion_archer_beast_mastery_wrist.webp"
"Item","SET_BLACK_BASTION_ARCHER_MARKSMANSHIP_CHEST","set_black_bastion_archer_marksmanship_chest","item set/Черный бастион/Наследие Безмолвной Стрелы.png","2 (4x2)","web/elyndor-web/src/assets/items/sets/set_black_bastion_archer_marksmanship_chest.webp"
"Item","SET_BLACK_BASTION_ARCHER_MARKSMANSHIP_FEET","set_black_bastion_archer_marksmanship_feet","item set/Черный бастион/Наследие Безмолвной Стрелы.png","7 (4x2)","web/elyndor-web/src/assets/items/sets/set_black_bastion_archer_marksmanship_feet.webp"
"Item","SET_BLACK_BASTION_ARCHER_MARKSMANSHIP_HANDS","set_black_bastion_archer_marksmanship_hands","item set/Черный бастион/Наследие Безмолвной Стрелы.png","4 (4x2)","web/elyndor-web/src/assets/items/sets/set_black_bastion_archer_marksmanship_hands.webp"
"Item","SET_BLACK_BASTION_ARCHER_MARKSMANSHIP_HEAD","set_black_bastion_archer_marksmanship_head","item set/Черный бастион/Наследие Безмолвной Стрелы.png","0 (4x2)","web/elyndor-web/src/assets/items/sets/set_black_bastion_archer_marksmanship_head.webp"
"Item","SET_BLACK_BASTION_ARCHER_MARKSMANSHIP_LEGS","set_black_bastion_archer_marksmanship_legs","item set/Черный бастион/Наследие Безмолвной Стрелы.png","6 (4x2)","web/elyndor-web/src/assets/items/sets/set_black_bastion_archer_marksmanship_legs.webp"
"Item","SET_BLACK_BASTION_ARCHER_MARKSMANSHIP_SHOULDERS","set_black_bastion_archer_marksmanship_shoulders","item set/Черный бастион/Наследие Безмолвной Стрелы.png","1 (4x2)","web/elyndor-web/src/assets/items/sets/set_black_bastion_archer_marksmanship_shoulders.webp"
